"id","word_count","total_attchments","total_images","total_videos","role","time_of_day","total_mentions","total_likes"
227236,2,0,1,0,"admin","morning",0,3
227225,25,0,0,0,"admin","morning",0,2
227222,25,0,0,0,"admin","morning",0,2
227205,1,0,0,0,"admin","morning",0,1
227197,1,0,0,0,"admin","morning",0,3
227196,1,0,0,0,"admin","morning",0,3
227193,1,0,0,0,"admin","morning",0,9
227192,1,0,0,0,"admin","morning",0,8
227190,1,0,0,0,"admin","morning",0,3
227189,1,0,0,0,"admin","morning",0,1
227184,1,0,0,0,"admin","morning",0,1
227181,2,0,0,0,"admin","morning",0,3
227161,2,0,0,0,"admin","morning",0,4
227155,3,0,0,0,"admin","morning",1,1
227153,7,0,0,0,"admin","morning",1,0
227148,2,0,1,0,"admin","afternoon",0,0
227146,2,0,4,0,"admin","afternoon",0,2
227142,1,0,1,0,"admin","afternoon",0,1
227140,1,0,1,0,"admin","afternoon",0,0
227138,1,0,1,0,"admin","afternoon",0,0
227128,435,0,0,0,"admin","morning",0,1
227125,5,0,0,0,"admin","morning",0,0
227114,1,0,0,0,"admin","morning",0,0
227100,1,0,0,0,"admin","afternoon",0,0
227089,6,0,0,0,"admin","afternoon",0,0
227084,4,0,1,0,"admin","afternoon",0,0
227081,4,0,0,0,"admin","afternoon",0,1
227077,1,0,0,0,"admin","morning",0,0
227073,1,0,0,0,"admin","morning",0,1
227067,1,0,0,0,"admin","morning",0,0
227064,1,0,1,0,"admin","morning",0,0
226969,4,0,0,0,"admin","morning",0,0
226968,1,0,0,0,"admin","morning",0,0
226962,1,0,0,0,"admin","evening",0,0
226925,2,0,0,0,"admin","afternoon",0,0
226917,1,0,0,0,"admin","afternoon",0,0
226911,1,0,0,0,"enterprise_admin","afternoon",0,0
226896,1,0,0,1,"enterprise_admin","afternoon",0,2
226895,1,0,0,0,"enterprise_admin","afternoon",0,3
226894,1,0,0,0,"enterprise_admin","afternoon",0,4
226893,3,0,0,0,"enterprise_admin","afternoon",0,5
226892,1,0,0,0,"enterprise_admin","afternoon",0,6
226859,1,0,0,0,"admin","morning",0,0
226838,1,0,0,0,"enterprise_admin","afternoon",0,0
226837,1,0,0,0,"enterprise_admin","afternoon",0,5
226836,1,0,0,0,"enterprise_admin","afternoon",0,6
226830,1,0,0,0,"enterprise_admin","afternoon",0,0
226807,2,0,0,0,"admin","morning",0,0
226799,3,0,0,0,"enterprise_admin","morning",0,2
226798,2,0,0,0,"enterprise_admin","morning",0,1
226789,3,0,0,0,"admin","morning",0,0
226762,1,0,0,0,"admin","afternoon",0,8
226760,1,0,0,0,"admin","afternoon",0,9
226756,2,0,0,0,"admin","morning",0,1
